[DEBUG] 2021-03-02 21:49:16.243 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@64d4f7c7
[DEBUG] 2021-03-02 21:49:16.243 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@64d4f7c7
[DEBUG] 2021-03-02 21:49:16.244 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@3d0035d2
[DEBUG] 2021-03-02 21:49:16.244 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@3d0035d2
[DEBUG] 2021-03-02 21:49:16.245 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@7afc4db9
[DEBUG] 2021-03-02 21:49:16.245 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@7afc4db9
[DEBUG] 2021-03-02 21:49:16.246 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@29149030
[DEBUG] 2021-03-02 21:49:16.246 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@29149030
[DEBUG] 2021-03-02 21:49:16.246 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@1a22e0ef
[DEBUG] 2021-03-02 21:49:16.247 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@7c8c70d6
[DEBUG] 2021-03-02 21:49:16.248 [main] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@7c8c70d6
[DEBUG] 2021-03-02 21:49:16.248 [main] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@7c8c70d6
[DEBUG] 2021-03-02 21:49:16.249 [main] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@3f1ed068
[DEBUG] 2021-03-02 21:49:16.249 [main] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@3f1ed068
[DEBUG] 2021-03-02 21:49:16.249 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@3f1ed068
[DEBUG] 2021-03-02 21:49:16.250 [main] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@3240b2a4
[DEBUG] 2021-03-02 21:49:16.251 [main] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@4adc663e
[DEBUG] 2021-03-02 21:49:16.253 [main] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@3e3315d9
[DEBUG] 2021-03-02 21:49:16.253 [main] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@3e3315d9
[DEBUG] 2021-03-02 21:49:16.253 [main] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@3e3315d9
[DEBUG] 2021-03-02 21:49:16.254 [main] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@1e9469b8
[DEBUG] 2021-03-02 21:49:16.254 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@1e9469b8
[DEBUG] 2021-03-02 21:49:16.254 [main] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@1e9469b8
[DEBUG] 2021-03-02 21:49:16.255 [main] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@648d0e6d
[DEBUG] 2021-03-02 21:49:16.255 [main] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@984169e
[DEBUG] 2021-03-02 21:49:16.257 [main] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@489091bd
[DEBUG] 2021-03-02 21:49:16.257 [main] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@489091bd
[DEBUG] 2021-03-02 21:49:16.257 [main] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@3743539f
[DEBUG] 2021-03-02 21:49:16.258 [main] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@75181b50
[DEBUG] 2021-03-02 21:49:16.259 [main] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@75181b50
[DEBUG] 2021-03-02 21:49:16.260 [main] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@19a64eae
[DEBUG] 2021-03-02 21:49:16.260 [main] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@19a64eae
[DEBUG] 2021-03-02 21:49:16.261 [main] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@7fb66650
[DEBUG] 2021-03-02 21:49:16.261 [main] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@46aa712c
[DEBUG] 2021-03-02 21:49:16.263 [main] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@37b52340
